PartNumber,Description,Sellable,Length,Weight,Width,Height,productPageUrl,image1_url,image1_name,image2_url,image2_name,image3_url,image3_name,image4_url,image4_name,image5_url,image5_name,image6_url,image6_name,image7_url,image7_name,image8_url,image8_name,image9_url,image9_name
3650032,Fuel Manifold,Y,226 mm,40 Kgs,15 mm,29 mm,https://parts.cummins.com/esn-entry/main/part-details/3650032/parts-search,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/365/3650032/3650032_iso_mkt.png?x-image-size=medium,3650032_image1.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/365/3650032/3650032_iso2.png?x-image-size=medium,3650032_image2.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/365/3650032/3650032_iso.png?x-image-size=medium,3650032_image3.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/365/3650032/3650032_front.png?x-image-size=medium,3650032_image4.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/365/3650032/3650032_top.png?x-image-size=medium,3650032_image5.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/365/3650032/3650032_left.png?x-image-size=medium,3650032_image6.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/365/3650032/3650032_back.png?x-image-size=medium,3650032_image7.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/365/3650032/3650032_right.png?x-image-size=medium,3650032_image8.jpg,,
,,N,null,null,null,null,https://parts.cummins.com/gsn-entry/main/part-details/3650032/part,no image available,no image available,,,,,,,,,,,,,,,,
4000532,"Pump,fuel/afc Auto -n",Y,15.25 In,13.3 Lbs,15.5 In,16.75 In,https://parts.cummins.com/esn-entry/main/part-details/4000532/parts-search,no image available,no image available,,,,,,,,,,,,,,,,
,,N,null,null,null,null,https://parts.cummins.com/gsn-entry/main/part-details/4000532/part,no image available,no image available,,,,,,,,,,,,,,,,
3074599,"Pump,fuel/afc Auto -n",Y,14.8 In,21.64 Lbs,"Non-Hazardous (NOI, ICE/Auto)",13.3 In,https://parts.cummins.com/esn-entry/main/part-details/3074599/parts-search,no image available,no image available,,,,,,,,,,,,,,,,
,,N,null,null,null,null,https://parts.cummins.com/gsn-entry/main/part-details/3074599/part,no image available,no image available,,,,,,,,,,,,,,,,
3815769,Fuel Pump,Y,42.5 In,13.44 Lbs,30 In,30.6 In,https://parts.cummins.com/esn-entry/main/part-details/3815769/parts-search,no image available,no image available,,,,,,,,,,,,,,,,
,,N,null,null,null,null,https://parts.cummins.com/gsn-entry/main/part-details/3815769/part,no image available,no image available,,,,,,,,,,,,,,,,
3938375,"Pump,fuel/p30 Inline Rs",Y,23.1 In,43.83 Lbs,15.6 In,10.3 In,https://parts.cummins.com/esn-entry/main/part-details/3938375/parts-search,no image available,no image available,,,,,,,,,,,,,,,,
3938375,"Pump,fuel/p30 Inline Rs",Y,23.1 In,43.83 Lbs,15.6 In,10.3 In,https://parts.cummins.com/esn-entry/main/part-details/3938375/parts-search,no image available,no image available,,,,,,,,,,,,,,,,
